Vessel;code;Genus;lat;lon;season;depth;swept_area_km2;N;N_km2;presence_absence;date;date_time;bathy;substrate;slope;roughness;fishingEffort;distCanyons;distMounts;distFans;bottom_temp;bottom_oxygen;bottom_nppv;bottom_ph;bottom_nh4;bottom_no3;bottom_po4;bottom_so;bottom_uo;bottom_vo;bottom_eke;SD_bottomT;SD_o2;SubAll;bioSubsFinal;ln_slope;ln_fishingEffort;Haul_N;RN;id;fold;ln_N_km2;ln_N;BioSubs;SA_offset
ESP000026632;20210512_63100_ESP000026632_01;Raja;40,48685;0,710694444;2;32,7;0,09203583;0;0;0;12/05/2020;NA;36,36672593;1;0,186488487;6;548,7813779;51,22916412;326,756958;74,48884583;14,82121372;250,7332001;0,887850642;8,114339828;0,355067015;0,705726624;0,032757904;38,07926559;-0,001202745;0,006637678;2,28E-05;2,32295084;5,688053131;6;1;0,170998094;6,309520704;112;42;112;4;0;0;1;NA
ESP000026756;20200630_64500_ESP000026756_02;Raja;41,9001375;3,36194375;2;299,1;0,20766614;0;0;0;30/06/2020;NA;331,2358025;1;4,373295259;141;567,783598;0;318,0229492;64,78803253;13,31086063;225,3616333;-7,18E-05;8,093277931;0,046823606;4,559555531;0,231764868;38,54359055;-0,003766606;0,005104089;2,01E-05;0,079276726;2,172969103;10;1;1,681441363;6,343500042;20;69;20;5;0;0;1;NA
ESP000026756;20200630_64500_ESP000026756_03;Raja;41,89017619;3,338878571;2;475,7;0,3895776;0;0;0;30/06/2020;NA;331,2358025;1;4,373295259;305;567,783598;0;318,0229492;64,78803253;13,43071842;231,0238342;-0,000425235;8,098831177;0,126728624;3,865289688;0,200538635;38,52441025;-0,008498659;0,008400131;7,14E-05;0,20249413;5,990460396;10;1;1,681441363;6,343500042;21;56;21;3;0;0;1;NA
ESP000026756;20200805_64500_ESP000026756_02;Raja;41,90164167;3,369658333;3;298,6;0,20050954;0;0;0;05/08/2020;NA;381,0742469;1;5,42458271;101;567,783598;0;318,0229492;64,78803253;13,24244499;224,3887329;-1,36E-05;8,093716621;0,03715517;4,533538818;0,230107784;38,53248215;-0,009128047;-0,007227797;6,78E-05;0,079276726;2,172969103;10;1;1,860131681;6,343500042;31;86;31;5;0;0;1;-1,606893452
ESP000026756;20201111_64500_ESP000026756_02;Raja;41,90121875;3,3680625;4;294,7;0,20841326;0;0;0;11/11/2020;NA;381,0742469;1;5,42458271;101;567,783598;0;318,0229492;64,78803253;13,40979767;223,5321655;-4,44E-05;8,090425491;0,030138936;4,618094444;0,233781159;38,56457138;-0,008337112;0,002663289;3,83E-05;0,079276726;2,172969103;10;1;1,860131681;6,343500042;55;3;55;5;0;0;1;-1,568232343
ESP000026756;20210324_64500_ESP000026756_02;Raja;41,90124074;3,369892593;1;301,5;0,19790042;0;0;0;24/03/2020;NA;381,0742469;1;5,42458271;101;567,783598;0;318,0229492;64,78803253;13,53105068;218,4901581;-0,00045109;8,086400986;0,022783572;4,956913471;0,249820352;38,61057663;-0,005945996;-0,004293645;2,69E-05;0,079276726;2,172969103;10;1;1,860131681;6,343500042;95;2;95;4;0;0;1;-1,619991304
ESP000026756;20210324_64500_ESP000026756_03;Raja;41,88764762;3,33925;1;530,3;0,35556527;0;0;0;24/03/2020;NA;331,2358025;1;4,373295259;305;567,783598;0;318,0229492;64,78803253;13,56655502;218,8228607;-0,003651933;8,090196609;0,05638868;4,763307571;0,241281539;38,5941391;-0,018318044;-0,019375969;0,000355489;0,20249413;5,990460396;10;1;1,681441363;6,343500042;96;71;96;1;0;0;1;NA
ESP000026756;20210527_64500_ESP000026756_02;Raja;41,90158056;3,369236111;2;293,8;0,19658548;0;0;0;27/05/2020;NA;381,0742469;1;5,42458271;101;567,783598;0;318,0229492;64,78803253;13,6235714;223,0223541;-0,00019513;8,087010384;0,048676122;4,588537216;0,23218447;38,62159348;0,001880858;-0,001527018;2,93E-06;0,079276726;2,172969103;10;1;1,860131681;6,343500042;119;67;119;3;0;0;1;NA
ESP000026569;20200714_64300_ESP000026569_03;Raja;41,35117083;2,643804167;3;524,3;0,18141794;0;0;0;14/07/2020;NA;461,2422617;1;3,249855005;98;651,941997;0;399,5228577;37,01931381;13,67574787;223,003891;-2,51E-05;8,086287498;0,030303178;4,755986214;0,240429804;38,64274597;0,000590153;-0,001432811;1,20E-06;0,133522585;2,922666073;10;1;1,446884866;6,4814883;24;31;24;4;0;0;1;NA
ESP000026569;20201028_64300_ESP000026569_03;Raja;41,34775278;2,67105;4;551,6;0,12108624;0;0;0;28/10/2020;NA;471,8201926;1;3,242815806;162;672,576672;3,486800432;396,5906982;33,49926376;13,32177925;221,0068512;-3,22E-07;8,086361885;0,012758501;5,037142754;0,252710283;38,56183243;0;0,006100958;1,86E-05;0,100940436;0,922123015;10;1;1,445227154;6,51260183;50;81;50;1;0;0;1;NA
ESP000026569;20210714_64300_ESP000026569_03;Raja;41,35090667;2,66903;3;542,7;0,17719516;0;0;0;14/07/2020;NA;471,8201926;1;3,242815806;145;672,576672;3,486800432;396,5906982;33,49926376;13,53203106;222,5047913;-2,79E-06;8,083808899;0,01406379;4,85613203;0,244364589;38,62300491;0;0,007937598;3,15E-05;0,100940436;0,922123015;10;1;1,445227154;6,51260183;129;66;129;5;0;0;1;NA
ESP000026756;20210527_64500_ESP000026756_03;Raja;41,88370625;3,3383125;2;578;0,35435611;0;0;0;27/05/2020;NA;872,2477037;1;3,27310028;294;821,9249613;0;318,0229492;64,78803253;13,68860149;224,6400909;-0,000484524;8,090948105;0,076662466;4,313549042;0,21940437;38,60640717;0,003583281;-0,000571095;6,58E-06;0,20249413;5,990460396;10;1;1,452339625;6,712865019;120;70;120;4;0;0;1;NA
