Vessel;code;Genus;lat;lon;season;depth;swept_area_km2;N;N_km2;presence_absence;date;date_time;bathy;substrate;slope;roughness;fishingEffort;distCanyons;distMounts;distFans;bottom_temp;bottom_oxygen;bottom_nppv;bottom_ph;bottom_nh4;bottom_no3;bottom_po4;bottom_so;bottom_uo;bottom_vo;bottom_eke;SD_bottomT;SD_o2;SubAll;bioSubsFinal;ln_slope;ln_fishingEffort;Haul_N;RN;id;fold;ln_N_km2;ln_N;BioSubs;SA_offset
Mny;21_05_27_CU_Mny_L2;Raja;39,381365;0,0094073;2;147,2;0,714330475;0;0;0;27/05/2020;NA;192,065358;1;1,714631905;11;208,3180011;9,251853943;199,8582153;37,09654236;13,66245461;238,1851044;-0,010818372;8,111712456;0,324225008;2,909604073;0,156783924;38,30010605;0,001005969;-0,008831673;3,95E-05;0,261594623;6,327803135;6;1;0,998656366;5,343854632;157;100;157;4;0;0;1;-0,336409574
Mny;21_02_25_CU_2Mny_L2;Raja;39,1420394;0,1906451;1;376;0,734016494;0;0;0;25/02/2020;NA;329,7229877;1;2,84663304;136;216,2143994;4,625777721;173,0939636;28,43631744;13,58803368;222,7833405;-7,22E-06;8,084957123;0,020903306;4,866571903;0,246330813;38,59469223;0,010060704;-0,00055302;5,08E-05;0,069746085;1,329292655;6;1;1,347198231;5,380884881;137;44;137;1;0;0;1;-0,309223779
Mny;21_08_02_CU_2Mny_L2;Raja;39,1489478;0,2065412;3;475;0,633099162;0;0;0;02/08/2020;NA;329,7229877;1;2,84663304;102;216,2143994;4,625777721;173,0939636;28,43631744;13,440135;221,6378784;-5,57E-07;8,087903023;0,008130335;4,901005745;0,246731803;38,58507919;0,001364368;0,00077952;1,23E-06;0,069746085;1,329292655;6;1;1,347198231;5,380884881;172;54;172;5;0;0;1;-0,457128215
Mny;21_11_19_CU_2MNY_L1;Raja;39,1494053;0,2176495;4;595,14;0,47782489;4;8,371267565;1;19/11/2020;NA;447,8974272;1;2,7901846;74;216,2143994;4,625777721;173,5299225;28,43631744;13,51832771;221,5193329;-2,12E-07;8,086773872;0,00768695;4,889162064;0,246132404;38,58197403;-0,00159388;-0,002297701;3,91E-06;0,069746085;1,329292655;6;1;1,332414725;5,380884881;180;37;180;1;2,237648366;1,609437912;1;-0,738510953
ESP000022870;20200721_64600_ESP000022870_01;Raja;41,97239762;3,553840476;3;555,7;0,178371;0;0;0;21/07/2020;NA;542,8012099;1;2,745027228;98;217,6088901;11,55141926;298,4230347;65,47185516;13,16215706;223,7322845;-1,22E-05;8,092240334;0,027105136;4,68031168;0,236908555;38,52159119;-0,004046591;0,000576894;8,35E-06;0,074750237;1,162203074;10;1;1,320428887;5,387284243;25;66;25;4;0;0;1;NA
ESP000022870;20200721_64600_ESP000022870_02;Raja;42,00291905;3,550290476;3;434,4;0,109299;0;0;0;21/07/2020;NA;542,8012099;1;2,745027228;56;217,6088901;11,54350281;296,2346802;73,47605133;13,16215706;223,7322845;-1,22E-05;8,092240334;0,027105136;4,68031168;0,236908555;38,52159119;-0,004046591;0,000576894;8,35E-06;0,120347321;1,824568629;10;1;1,320428887;5,387284243;26;76;26;2;0;0;1;-2,213668033
ESP000022870;20201028_64600_ESP000022870_02;Raja;42,00660952;3,547821429;4;421,5;0,22916525;0;0;0;28/10/2020;NA;542,8012099;1;2,745027228;58;217,6088901;11,54350281;296,2346802;73,47605133;13,2946806;222,7447052;-7,65E-05;8,089033127;0,011279293;4,865697861;0,244745374;38,55047607;-0,000376533;-0,005504682;1,52E-05;0,120347321;1,824568629;10;1;1,320428887;5,387284243;52;45;52;2;0;0;1;-1,47331192
ESP000022870;20210420_64600_ESP000022870_02;Raja;42,00579048;3,547609524;2;421,5;0,24377861;0;0;0;20/04/2020;NA;542,8012099;1;2,745027228;58;217,6088901;11,54350281;296,2346802;73,47605133;13,60880756;223,1227722;-0,000802636;8,083950043;0,040106967;4,791718483;0,241945818;38,635746;0,0005533;0,00220369;2,58E-06;0,120347321;1,824568629;10;1;1,320428887;5,387284243;104;100;104;3;0;0;1;-1,411494802
ESP000022870;20210722_64600_ESP000022870_01;Raja;41,97181905;3,554211905;3;552,9;0,20554971;0;0;0;22/07/2020;NA;542,8012099;1;2,745027228;89;217,6088901;11,55141926;298,4230347;65,47185516;13,66890049;224,0088959;-3,57E-05;8,083519936;0,041838951;4,675310135;0,236233175;38,66181183;-0,0009778;-0,003236483;5,72E-06;0,074750237;1,162203074;6;1;1,320428887;5,387284243;130;17;130;1;0;0;1;NA
ESP000022870;20210722_64600_ESP000022870_02;Raja;42,00708333;3,556569048;3;447,4;0,22623576;0;0;0;22/07/2020;NA;542,8012099;1;2,745027228;54;217,6088901;11,54350281;296,2346802;73,47605133;13,66890049;224,0088959;-3,57E-05;8,083519936;0,041838951;4,675310135;0,236233175;38,66181183;-0,0009778;-0,003236483;5,72E-06;0,120347321;1,824568629;6;1;1,320428887;5,387284243;131;90;131;2;0;0;1;NA
